schoolId,name,oldName,principal,region,province,city,congDist,brgy,street,telNo1,telNo2,fax,cell1,cell2,website
402405,Saint Matthew Montessori of Cabuyao and Science High School,,,40000000,43400000,,,Mamatid,Mabuhay City,0918 3332572,049 5763214,,,0998 8845460,
403858,"Jesus, the Faithful Saviour Christian School, Inc.",,,40000000,43400000,,,Brgy. Langgam,Blk 26 Lot 11 Southern Heights,0918 4951148,8680116,,,,
402258,"Fiat Lux Academe of Gen. Trias, Cavite",,,40000000,42100000,,,Pasong Camachile 1,,0918 9103503,046 8872646,,,,
403859,Angels in Heaven School Inc.,,,40000000,43400000,,,Sala,Nationa Highway,,049 5303240,,,,
402279,Colegio de San Pedro inc,,,40000000,43400000,,,Pacita Complex I,,0917 8461945,8475535,,,,
403860,"Shepherd Angels Christian School of Antipolo, Inc.",,,40000000,45800000,,, de La Paz,Lot 4 Blk 18 pH 3 BS/BNII NHA Ave.,,6460836,,,,
1703861,Erhard Science and Technological Institute Oriental Mindoro Inc.,,,170000000,175200000,,,Bulaklakan,,0922 8328361,8712886,,,,
1700764,Brooke's Point Christian High School,,,170000000,175300000,,,Poblacion,,0926 6041405,,,,0915 3739910,
1703862,Salve Regina School,,,170000000,175300000,,,Tiniguiban,Purok United Homeowners,,048 4335929,,,,
1503863,Good News Christian Academy of Ifugao Inc,,,140000000,142700000,,,tam-an,Ilogue,0935 6154164,,,,,
1503864,"H.O.P.E. Christian Academy, Inc.",,,140000000,141100000,,,Balili,Pineshill Business Center 2 Km. 5,0930 4593617,074 4222994,,,,
1303865,"CFC School of the Morning Star, Inc.",,,160000000,160200000,,,,,,085-8160435 / 0917-7046800,,,,
1403866,"New Jerusalem School, Inc.",,,130000000,137400000,,,32 Sto. Tomas St.,,,02 7120339,,,,
1402437,"Saint Mark's Institute, Incorporated",,,130000000,137600000,,,Casimiro Ave.,,,02 8728489,,,,
1402438,St. Therese School,,,130000000,137600000,,,27 Aurora Drive Vergonville Subd.,,,02 8745327,,,,
1402835,Our Lord Saviour Academy Inc,,,130000000,137400000,,,Talanay,120 Munoz St.,0915 5694934,4315826,,,,
1402446,Salvador Araneta Memorial Institute,,,130000000,137500000,,,12 Reparo Street,,,02 4476028,,,,
1403867,"Mona Lisa Academy, Inc.",,,130000000,137400000,,,"12 Cadena de Amor St., De Castro Subd.",,0927 3070715,02 7481102,,,0927 7987620,
1402426,Saint Benedict School of Novaliches Inc,,,130000000,137500000,,, Congressional Road,1037 Clamor Compound,,02 9375160,,,,
1403868,Sacred Heart Academy of La Loma,,,130000000,137400000,,,#49 NS Amorante Sr. Ave.,,0915 2153474,02 7415374,,,,
1402791,Saint Francis of Assisi College System,,,130000000,137600000,,,Admiral Park Subd.,Admiral Road,,,,,,
1403869,Saint Vincent Blessed School of Manila,,,130000000,133900000,,,Instruccion St,,0917 8821570,7418955,,,,
1403870,Saint Francis de Assissi Educational Foundation Inc,,,130000000,137600000,,,Admiral Village,,0927 3929656,8003131,,,,
1403871,"Saint Francis of Assissi College of Taguig, Inc.",,,130000000,137600000,,,Holy Family Village,,0915 5713519,8388305,,,,
1402780,St. Francis of Assisi College of Alabang Inc,,,130000000,137600000,,,19 Ilaya St,,,4785398,,,,
1403872,Servite School Inc,,,130000000,137600000,,,265 Arandia st/,,0939 8935513,8611464,,,,
1403873,Lakewood School of Alabang Inc.,,,130000000,137600000,,,Timbol Bldg. 21 National Road,,0917 8088961,02 5502260,,,,
1402435,Saint Anthony School,,,130000000,137600000,,,Dama De Noche St.,,0917 8856802,,,,,
1402520,Saint Anthony Academy of Quezon City Inc,,,130000000,137400000,,,Pasong Tamo,,,02 4530056,,,,
1403745,Saint Theresa's College,,,130000000,137400000,,,,,,,,,,
903355,Dr. Aurelio Mendoza Memorial Colleges (Night),,,90000000,98300000,,,,,,,,,,
1402751,Pineslight School of Makati,,,130000000,137600000,,,#8229 Sgt. F. Yabut cor Dapitan Sts.,,,,,,,
